gender,PlaceofBirth,StageID,Topic,ParentAnsweringSurvey,ParentInteractionLevel,StudentAbsenceDays,Class
F,Jammu Kashmir,MiddleSchool,Biology,No,Good,Above-7,M
F,Jammu Kashmir,MiddleSchool,Biology,No,Good,Above-7,M
M,Kerala,MiddleSchool,Biology,Yes,Good,Under-7,H
M,Kerala,MiddleSchool,Biology,Yes,Good,Under-7,H
M,Bihar,MiddleSchool,Biology,Yes,Good,Under-7,H
M,Bihar,MiddleSchool,Biology,Yes,Good,Under-7,H
F,Bihar,MiddleSchool,Chemistry,Yes,Good,Under-7,H
F,Bihar,MiddleSchool,Chemistry,Yes,Good,Under-7,H
F,Bihar,MiddleSchool,Geology,Yes,Good,Above-7,M
F,Bihar,MiddleSchool,Geology,Yes,Good,Above-7,M
F,Bihar,MiddleSchool,Geology,Yes,Good,Under-7,H
F,Bihar,MiddleSchool,Geology,Yes,Good,Under-7,H
M,Bihar,MiddleSchool,Chemistry,Yes,Good,Above-7,M
M,Bihar,MiddleSchool,Chemistry,Yes,Good,Above-7,M
M,Karnataka,MiddleSchool,Chemistry,No,Bad,Above-7,M
M,Karnataka,MiddleSchool,Chemistry,No,Bad,Above-7,M
M,Karnataka,MiddleSchool,Geology,No,Bad,Under-7,H
M,Karnataka,MiddleSchool,Geology,No,Bad,Under-7,H
M,Karnataka,MiddleSchool,Geology,No,Bad,Under-7,M
M,Karnataka,MiddleSchool,Geology,No,Bad,Under-7,M
M,Bihar,MiddleSchool,Chemistry,Yes,Good,Above-7,M
M,Bihar,MiddleSchool,Chemistry,Yes,Good,Above-7,M
M,Bihar,MiddleSchool,Geology,Yes,Good,Under-7,M
M,Bihar,MiddleSchool,Geology,Yes,Good,Under-7,M
M,Bihar,MiddleSchool,Chemistry,Yes,Good,Under-7,M
M,Bihar,MiddleSchool,Chemistry,Yes,Good,Under-7,M
M,Bihar,MiddleSchool,Geology,Yes,Good,Under-7,M
M,Bihar,MiddleSchool,Geology,Yes,Good,Under-7,M
M,Bihar,MiddleSchool,History,Yes,Good,Above-7,M
M,Bihar,MiddleSchool,History,Yes,Good,Above-7,M
M,Bihar,MiddleSchool,Chemistry,Yes,Good,Above-7,M
M,Bihar,MiddleSchool,Chemistry,Yes,Good,Above-7,M
M,Bihar,MiddleSchool,Geology,Yes,Good,Under-7,M
M,Bihar,MiddleSchool,Geology,Yes,Good,Under-7,M
M,Bihar,MiddleSchool,History,Yes,Good,Under-7,H
M,Bihar,MiddleSchool,History,Yes,Good,Under-7,H
F,Bihar,MiddleSchool,Chemistry,Yes,Good,Under-7,H
F,Bihar,MiddleSchool,Chemistry,Yes,Good,Under-7,H
F,Bihar,MiddleSchool,Geology,Yes,Good,Above-7,M
F,Bihar,MiddleSchool,Geology,Yes,Good,Above-7,M
F,Bihar,MiddleSchool,History,Yes,Good,Under-7,M
F,Bihar,MiddleSchool,History,Yes,Good,Under-7,M
F,Bihar,MiddleSchool,Chemistry,Yes,Good,Under-7,H
F,Bihar,MiddleSchool,Chemistry,Yes,Good,Under-7,H
M,Kerala,MiddleSchool,Chemistry,Yes,Good,Under-7,H
M,Kerala,MiddleSchool,Chemistry,Yes,Good,Under-7,H
M,Kerala,MiddleSchool,Geology,Yes,Good,Above-7,M
M,Kerala,MiddleSchool,Geology,Yes,Good,Above-7,M
M,Kerala,MiddleSchool,History,Yes,Good,Above-7,M
M,Kerala,MiddleSchool,History,Yes,Good,Above-7,M
F,Bihar,MiddleSchool,Chemistry,Yes,Good,Under-7,H
F,Bihar,MiddleSchool,Chemistry,Yes,Good,Under-7,H
F,Bihar,MiddleSchool,Geology,Yes,Good,Under-7,H
F,Bihar,MiddleSchool,Geology,Yes,Good,Under-7,H
F,Bihar,MiddleSchool,Chemistry,No,Bad,Above-7,M
F,Bihar,MiddleSchool,Chemistry,No,Bad,Above-7,M
M,Bihar,MiddleSchool,History,Yes,Good,Under-7,M
M,Bihar,MiddleSchool,History,Yes,Good,Under-7,M
M,Gujarat,MiddleSchool,Geology,Yes,Good,Under-7,M
M,Gujarat,MiddleSchool,Geology,Yes,Good,Under-7,M
F,Bihar,MiddleSchool,Chemistry,No,Bad,Above-7,M
F,Bihar,MiddleSchool,Chemistry,No,Bad,Above-7,M
F,Bihar,MiddleSchool,Geology,No,Bad,Under-7,M
F,Bihar,MiddleSchool,Geology,No,Bad,Under-7,M
F,Bihar,MiddleSchool,History,No,Bad,Above-7,M
F,Bihar,MiddleSchool,History,No,Bad,Above-7,M
